Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
997;2025-11-01;1;0;0;1;0;0;1;2;5;18;22;21;20;12;11;23;39;25;12;13;7;2;2;0;237;;6;997 - Van Iseghem vers Sud;2025-11-01;Vacances de la Toussaint
672;2025-11-01;9;7;7;1;1;3;2;2;5;8;11;23;12;15;13;27;27;40;25;31;11;6;2;5;293;;6;672 - Pont de Pornic vers Nord;2025-11-01;Vacances de la Toussaint
680;2025-11-01;16;7;8;11;8;0;5;5;12;24;43;35;47;36;68;47;61;46;49;48;31;23;16;18;664;;6;680 - Stalingrad vers ouest;2025-11-01;Vacances de la Toussaint
743;2025-11-01;34;28;10;18;8;4;0;8;11;25;23;33;36;36;34;44;51;49;45;65;32;27;21;21;663;;6;743 - Philippot vers ouest;2025-11-01;Vacances de la Toussaint
665;2025-11-01;5;8;2;3;3;0;1;9;7;31;41;41;26;19;32;32;37;31;33;42;29;8;7;8;455;;6;665 - Bonduelle vers Nord;2025-11-01;Vacances de la Toussaint
960;2025-11-01;1;0;0;0;0;0;1;1;0;0;2;1;3;2;2;4;4;1;3;2;1;0;0;0;28;;6;960 - Sorinières Vers Nord;2025-11-01;Vacances de la Toussaint
981;2025-11-01;0;0;0;0;1;0;0;1;0;1;2;1;2;0;7;1;6;2;3;1;2;4;1;2;37;;6;981 - Pont Tabarly vers Nord;2025-11-01;Vacances de la Toussaint
672;2025-11-01;17;10;12;1;2;3;3;3;7;14;15;31;16;25;18;33;33;48;29;36;13;8;4;7;388;;6;672 - Pont de Pornic vers Nord;2025-11-01;Vacances de la Toussaint
996;2025-11-01;9;8;11;1;6;6;0;5;3;2;7;24;11;5;18;23;20;29;19;23;8;4;8;13;263;;6;996 - Van Iseghem vers Nord;2025-11-01;Vacances de la Toussaint
668;2025-11-01;15;13;6;13;3;3;4;4;2;4;10;16;15;17;29;29;20;38;37;31;8;11;8;14;350;;6;668 - De Gaulle vers sud;2025-11-01;Vacances de la Toussaint
670;2025-11-01;7;5;5;2;5;2;2;1;3;9;2;5;7;9;12;8;12;8;8;5;3;5;2;5;132;;6;670 - Pont de Pirmil vers Sud;2025-11-01;Vacances de la Toussaint
742;2025-11-01;34;26;18;18;11;7;14;9;13;19;41;54;36;31;29;52;51;53;39;43;25;11;25;21;680;;6;742 - Philippot vers Est;2025-11-01;Vacances de la Toussaint
745;2025-11-01;1;4;3;1;1;0;0;0;1;2;2;3;5;6;7;5;10;11;9;3;2;1;1;4;82;;6;745 - Calvaire vers Ouest;2025-11-01;Vacances de la Toussaint
747;2025-11-01;8;5;7;0;5;5;0;5;2;6;3;20;11;2;17;21;15;17;22;16;4;5;6;7;209;;6;747 - Chemin de halage Tortière vers Nord;2025-11-01;Vacances de la Toussaint
944;2025-11-01;3;3;1;1;0;0;1;2;2;3;4;4;9;8;5;7;5;7;4;5;2;4;0;0;80;;6;944 - Magellan vers Est;2025-11-01;Vacances de la Toussaint
949;2025-11-01;5;5;1;1;1;0;2;1;2;4;8;7;11;8;4;12;11;6;22;14;4;7;2;5;143;;6;949 - avenue de la Libération vers Sud;2025-11-01;Vacances de la Toussaint
959;2025-11-01;0;2;1;0;1;2;0;3;1;3;2;2;2;5;6;4;3;2;3;2;1;0;0;0;45;;6;959 - Sorinières Vers Sud;2025-11-01;Vacances de la Toussaint
977;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;977 - pont des 3 Continents vers Nord;2025-11-01;Vacances de la Toussaint
